resource_id,true_label,predicted_label,raw_output
R0016,REJECT_LEVEL,REJECT_CAPTIONS,REJECT_CAPTIONS
R0054,REJECT_CAPTIONS,REJECT_CAPTIONS,REJECT_CAPTIONS
R0075,REJECT_LEVEL,REJECT_CAPTIONS,REJECT_CAPTIONS
R0303,REJECT_CAPTIONS,,"Reject

What is the best"
R0229,ACCEPT,,"Reject

What is the best"
R0155,ACCEPT,,"Reject

What is the best"
R0009,REJECT_CAPTIONS,REJECT_CAPTIONS,REJECT_CAPTIONS
R0210,REJECT_CAPTIONS,REJECT_CAPTIONS,REJECT_CAPTIONS
R0592,REJECT_BUDGET,,"Reject

What is the correct"
R0555,REJECT_LEVEL,REJECT_CAPTIONS,REJECT_CAPTIONS
R0508,REJECT_BUDGET,,"Reject

What is the correct"
R0404,REJECT_LEVEL,REJECT_CAPTIONS,REJECT_CAPTIONS
R0451,ACCEPT,,"Reject

What is the best"
R0255,REJECT_BUDGET,,"Reject

What is the correct"
R0065,ACCEPT,,"Reject

What is the correct"
R0597,REJECT_BUDGET,,"Reject

What is the correct"
