resource_id,title,description,topics,difficulty,format,duration_minutes,cost_type,price_usd,provider,quality_score,accessibility_score,has_captions,has_transcript,prerequisites,language,resource_url,popularity_score
R0001,Responsible AI Applied Path 1,An original beginner learning resource that develops responsible ai concepts through interactive exercise activities and connects them with data science practice.,Responsible AI|Data science,Beginner,Interactive exercise,45,Free,0.0,Nexus Learning,0.497,0.947,True,True,None,English,https://example.org/learnbridge/resources/R0001,0.522
R0002,Python Essentials 2,An original beginner learning resource that develops python concepts through practice quiz activities and connects them with software engineering practice.,Python|Software engineering,Beginner,Practice quiz,180,Paid,25.0,Bridge Learning,0.86,0.844,True,True,None,English,https://example.org/learnbridge/resources/R0002,0.314
R0003,NLP Applied Path 3,An original beginner learning resource that develops nlp concepts through video activities and connects them with data science practice.,NLP|Data science,Beginner,Video,120,Free,0.0,Beacon Learning,0.74,0.961,True,True,None,English,https://example.org/learnbridge/resources/R0003,0.398
R0004,Software engineering Field Guide 4,An original intermediate learning resource that develops software engineering concepts through video activities and connects them with statistics practice.,Software engineering|Statistics,Intermediate,Video,90,Free,0.0,Beacon Learning,0.793,0.523,False,False,Statistics,English,https://example.org/learnbridge/resources/R0004,0.496
R0005,Responsible AI Practice Lab 5,An original beginner learning resource that develops responsible ai concepts through practice quiz activities and connects them with mathematics practice.,Responsible AI|Mathematics,Beginner,Practice quiz,60,Free,0.0,Summit Learning,0.984,0.833,True,True,None,English,https://example.org/learnbridge/resources/R0005,0.415
R0006,Python Workshop 6,An original advanced learning resource that develops python concepts through project activities and connects them with sql practice.,Python|SQL,Advanced,Project,90,Free,0.0,Forge Learning,0.664,0.813,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0006,0.274
R0007,Software engineering Concept Clinic 7,An original advanced learning resource that develops software engineering concepts through course activities and connects them with computer vision practice.,Software engineering|Computer vision,Advanced,Course,45,Free,0.0,Orbit Learning,0.915,0.902,True,True,Software engineering,English,https://example.org/learnbridge/resources/R0007,0.171
R0008,Computer vision Applied Path 8,An original intermediate learning resource that develops computer vision concepts through course activities and connects them with deep learning practice.,Computer vision|Deep learning,Intermediate,Course,360,Free,0.0,Nova Learning,0.818,0.972,True,True,Computer vision,English,https://example.org/learnbridge/resources/R0008,0.38
R0009,Computer vision Essentials 9,An original intermediate learning resource that develops computer vision concepts through practice quiz activities and connects them with machine learning practice.,Computer vision|Machine learning,Intermediate,Practice quiz,90,Paid,9.0,Harbor Learning,0.905,0.994,True,True,Python,English,https://example.org/learnbridge/resources/R0009,0.484
R0010,Cloud computing Workshop 10,An original intermediate learning resource that develops cloud computing concepts through course activities and connects them with python practice.,Cloud computing|Python,Intermediate,Course,120,Free,0.0,Orbit Learning,0.58,0.976,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0010,0.352
R0011,Cloud computing Concept Clinic 11,An original beginner learning resource that develops cloud computing concepts through course activities and connects them with machine learning practice.,Cloud computing|Machine learning,Beginner,Course,45,Paid,59.0,Willow Learning,0.971,0.853,True,True,None,English,https://example.org/learnbridge/resources/R0011,0.576
R0012,NLP Essentials 12,An original advanced learning resource that develops nlp concepts through course activities and connects them with cloud computing practice.,NLP|Cloud computing,Advanced,Course,60,Free,0.0,Nexus Learning,0.574,0.813,True,True,NLP,English,https://example.org/learnbridge/resources/R0012,0.225
R0013,Python Workshop 13,An original beginner learning resource that develops python concepts through article activities and connects them with computer vision practice.,Python|Computer vision,Beginner,Article,240,Free,0.0,Forge Learning,0.581,0.843,True,True,None,English,https://example.org/learnbridge/resources/R0013,0.655
R0014,NLP Applied Path 14,An original beginner learning resource that develops nlp concepts through project activities and connects them with deep learning practice.,NLP|Deep learning,Beginner,Project,30,Paid,25.0,Nova Learning,0.584,0.812,True,True,None,English,https://example.org/learnbridge/resources/R0014,0.278
R0015,Statistics Foundations 15,An original intermediate learning resource that develops statistics concepts through project activities and connects them with data science practice.,Statistics|Data science,Intermediate,Project,30,Paid,15.0,Lumen Learning,0.669,0.81,True,True,Statistics,English,https://example.org/learnbridge/resources/R0015,0.515
R0016,Mathematics Essentials 16,An original intermediate learning resource that develops mathematics concepts through course activities and connects them with cloud computing practice.,Mathematics|Cloud computing,Intermediate,Course,90,Free,0.0,Nexus Learning,0.483,0.844,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0016,0.333
R0017,Cloud computing Foundations 17,An original beginner learning resource that develops cloud computing concepts through tutorial activities and connects them with machine learning practice.,Cloud computing|Machine learning,Beginner,Tutorial,45,Free,0.0,Pixel Learning,0.668,0.814,True,True,None,English,https://example.org/learnbridge/resources/R0017,0.72
R0018,Software engineering Practice Lab 18,An original beginner learning resource that develops software engineering concepts through interactive exercise activities and connects them with cloud computing practice.,Software engineering|Cloud computing,Beginner,Interactive exercise,120,Free,0.0,Atlas Learning,0.813,0.848,True,True,None,English,https://example.org/learnbridge/resources/R0018,0.333
R0019,Data science Field Guide 19,An original intermediate learning resource that develops data science concepts through tutorial activities and connects them with machine learning practice.,Data science|Machine learning,Intermediate,Tutorial,120,Free,0.0,Harbor Learning,0.535,0.976,True,True,Python,English,https://example.org/learnbridge/resources/R0019,0.589
R0020,Responsible AI Workshop 20,An original beginner learning resource that develops responsible ai concepts through project activities and connects them with cloud computing practice.,Responsible AI|Cloud computing,Beginner,Project,30,Free,0.0,Summit Learning,0.512,0.988,True,True,None,English,https://example.org/learnbridge/resources/R0020,0.265
R0021,Mathematics Concept Clinic 21,An original beginner learning resource that develops mathematics concepts through practice quiz activities and connects them with nlp practice.,Mathematics|NLP,Beginner,Practice quiz,360,Paid,9.0,Cedar Learning,0.793,0.898,True,True,None,English,https://example.org/learnbridge/resources/R0021,0.359
R0022,Cloud computing Field Guide 22,An original beginner learning resource that develops cloud computing concepts through practice quiz activities and connects them with python practice.,Cloud computing|Python,Beginner,Practice quiz,360,Paid,59.0,Nexus Learning,0.53,0.807,True,True,None,English,https://example.org/learnbridge/resources/R0022,0.089
R0023,Python Concept Clinic 23,An original beginner learning resource that develops python concepts through article activities and connects them with computer vision practice.,Python|Computer vision,Beginner,Article,120,Free,0.0,Willow Learning,0.976,0.956,True,True,None,English,https://example.org/learnbridge/resources/R0023,0.692
R0024,Machine learning Concept Clinic 24,An original beginner learning resource that develops machine learning concepts through practice quiz activities and connects them with deep learning practice.,Machine learning|Deep learning,Beginner,Practice quiz,180,Paid,15.0,Summit Learning,0.536,0.96,True,True,None,English,https://example.org/learnbridge/resources/R0024,0.83
R0025,Statistics Applied Path 25,An original beginner learning resource that develops statistics concepts through project activities and connects them with cloud computing practice.,Statistics|Cloud computing,Beginner,Project,60,Paid,15.0,Circuit Learning,0.627,0.845,True,True,None,English,https://example.org/learnbridge/resources/R0025,0.754
R0026,Computer vision Workshop 26,An original advanced learning resource that develops computer vision concepts through tutorial activities and connects them with mathematics practice.,Computer vision|Mathematics,Advanced,Tutorial,20,Free,0.0,Summit Learning,0.471,0.823,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0026,0.336
R0027,Cloud computing Foundations 27,An original beginner learning resource that develops cloud computing concepts through tutorial activities and connects them with data science practice.,Cloud computing|Data science,Beginner,Tutorial,20,Free,0.0,Compass Learning,0.95,0.942,True,True,None,English,https://example.org/learnbridge/resources/R0027,0.332
R0028,NLP Concept Clinic 28,An original beginner learning resource that develops nlp concepts through practice quiz activities and connects them with deep learning practice.,NLP|Deep learning,Beginner,Practice quiz,480,Paid,9.0,Harbor Learning,0.724,0.863,True,True,None,English,https://example.org/learnbridge/resources/R0028,0.424
R0029,Statistics Practice Lab 29,An original intermediate learning resource that develops statistics concepts through course activities and connects them with deep learning practice.,Statistics|Deep learning,Intermediate,Course,45,Free,0.0,Nexus Learning,0.9,0.923,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0029,0.207
R0030,NLP Applied Path 30,An original intermediate learning resource that develops nlp concepts through practice quiz activities and connects them with cloud computing practice.,NLP|Cloud computing,Intermediate,Practice quiz,240,Free,0.0,Cedar Learning,0.603,0.959,True,True,Python,English,https://example.org/learnbridge/resources/R0030,0.746
R0031,Statistics Practice Lab 31,An original beginner learning resource that develops statistics concepts through project activities and connects them with mathematics practice.,Statistics|Mathematics,Beginner,Project,20,Free,0.0,Cedar Learning,0.696,0.809,True,True,None,English,https://example.org/learnbridge/resources/R0031,0.594
R0032,Mathematics Workshop 32,An original advanced learning resource that develops mathematics concepts through project activities and connects them with python practice.,Mathematics|Python,Advanced,Project,30,Paid,59.0,Beacon Learning,0.477,0.956,True,True,Python,English,https://example.org/learnbridge/resources/R0032,0.304
R0033,Responsible AI Concept Clinic 33,An original advanced learning resource that develops responsible ai concepts through tutorial activities and connects them with cloud computing practice.,Responsible AI|Cloud computing,Advanced,Tutorial,240,Free,0.0,Nexus Learning,0.691,0.923,True,True,Statistics,English,https://example.org/learnbridge/resources/R0033,0.245
R0034,Responsible AI Applied Path 34,An original intermediate learning resource that develops responsible ai concepts through tutorial activities and connects them with sql practice.,Responsible AI|SQL,Intermediate,Tutorial,60,Free,0.0,Harbor Learning,0.577,0.855,True,True,Responsible AI,English,https://example.org/learnbridge/resources/R0034,0.601
