resource_id,true_label,predicted_label,raw_output
R0016,REJECT_LEVEL,ACCEPT,"ACCEPT, REJECT_B"
R0054,REJECT_CAPTIONS,ACCEPT,"ACCEPT, REJECT_B"
R0075,REJECT_LEVEL,ACCEPT,"ACCEPT, REJECT_B"
R0303,REJECT_CAPTIONS,ACCEPT,"ACCEPT, REJECT_B"
R0229,ACCEPT,ACCEPT,"ACCEPT, REJECT_B"
R0155,ACCEPT,ACCEPT,"ACCEPT, REJECT_B"
R0009,REJECT_CAPTIONS,ACCEPT,"ACCEPT, REJECT_B"
R0210,REJECT_CAPTIONS,ACCEPT,"ACCEPT, REJECT_B"
R0592,REJECT_BUDGET,ACCEPT,"ACCEPT, REJECT_B"
R0555,REJECT_LEVEL,ACCEPT,"ACCEPT, REJECT_B"
R0508,REJECT_BUDGET,ACCEPT,"ACCEPT, REJECT_B"
R0404,REJECT_LEVEL,ACCEPT,"ACCEPT, REJECT_B"
R0451,ACCEPT,ACCEPT,"ACCEPT, REJECT_B"
R0255,REJECT_BUDGET,ACCEPT,"ACCEPT, REJECT_B"
R0065,ACCEPT,ACCEPT,"ACCEPT, REJECT_B"
R0597,REJECT_BUDGET,ACCEPT,"ACCEPT, REJECT_B"
