profile_id,resource_id,relevance
P001,R0001,1
P001,R0002,0
P001,R0003,0
P001,R0004,0
P001,R0005,1
P001,R0006,2
P001,R0007,0
P001,R0008,0
P001,R0009,0
P001,R0010,0
P001,R0011,0
P001,R0012,0
P001,R0013,0
P001,R0014,0
P001,R0015,0
P001,R0016,0
P001,R0017,0
P001,R0018,0
P001,R0019,0
P001,R0020,1
P001,R0021,0
P001,R0022,0
P001,R0023,0
P001,R0024,0
P001,R0025,0
P001,R0026,0
P001,R0027,0
P001,R0028,0
P001,R0029,0
P001,R0030,0
P001,R0031,0
P001,R0032,0
P001,R0033,1
P001,R0034,2
P001,R0035,0
P001,R0036,0
P001,R0037,0
P001,R0038,0
P001,R0039,1
P001,R0040,1
P001,R0041,2
P001,R0042,0
P001,R0043,2
P001,R0044,2
P001,R0045,2
P001,R0046,0
P001,R0047,0
P001,R0048,0
P001,R0049,0
P001,R0050,1
P001,R0051,1
P001,R0052,2
P001,R0053,1
P001,R0054,0
P001,R0055,0
P001,R0056,0
P001,R0057,0
P001,R0058,0
P001,R0059,1
P001,R0060,0
P001,R0061,0
P001,R0062,1
P001,R0063,2
P001,R0064,1
P001,R0065,1
P001,R0066,0
P001,R0067,1
P001,R0068,0
P001,R0069,0
P001,R0070,0
P001,R0071,0
P001,R0072,0
P001,R0073,0
P001,R0074,0
P001,R0075,0
P001,R0076,0
P001,R0077,0
P001,R0078,0
P001,R0079,0
P001,R0080,0
P001,R0081,1
P001,R0082,1
P001,R0083,1
P001,R0084,0
P001,R0085,0
P001,R0086,0
P001,R0087,1
P001,R0088,0
P001,R0089,0
P001,R0090,0
P001,R0091,0
P001,R0092,0
P001,R0093,0
P001,R0094,1
P001,R0095,1
P001,R0096,0
P001,R0097,0
P001,R0098,0
P001,R0099,1
P001,R0100,0
P001,R0101,0
P001,R0102,0
P001,R0103,0
P001,R0104,1
P001,R0105,1
P001,R0106,0
P001,R0107,0
P001,R0108,0
P001,R0109,1
P001,R0110,0
P001,R0111,1
P001,R0112,0
P001,R0113,0
P001,R0114,0
P001,R0115,0
P001,R0116,0
P001,R0117,0
P001,R0118,0
P001,R0119,0
P001,R0120,0
P001,R0121,2
P001,R0122,0
P001,R0123,0
P001,R0124,0
P001,R0125,1
P001,R0126,0
P001,R0127,0
P001,R0128,1
P001,R0129,0
P001,R0130,0
P001,R0131,0
P001,R0132,2
P001,R0133,0
P001,R0134,0
P001,R0135,0
P001,R0136,0
P001,R0137,2
P001,R0138,0
P001,R0139,1
P001,R0140,0
P001,R0141,1
P001,R0142,2
P001,R0143,2
P001,R0144,0
P001,R0145,0
P001,R0146,0
P001,R0147,0
P001,R0148,0
P001,R0149,0
P001,R0150,0
P001,R0151,0
P001,R0152,0
P001,R0153,0
P001,R0154,0
P001,R0155,0
P001,R0156,0
P001,R0157,0
P001,R0158,0
P001,R0159,0
P001,R0160,0
P001,R0161,0
P001,R0162,1
P001,R0163,1
P001,R0164,1
P001,R0165,0
P001,R0166,0
P001,R0167,0
P001,R0168,0
P001,R0169,0
P001,R0170,0
P001,R0171,0
P001,R0172,0
P001,R0173,1
P001,R0174,0
P001,R0175,1
P001,R0176,0
P001,R0177,2
P001,R0178,0
P001,R0179,0
P001,R0180,2
P001,R0181,0
P001,R0182,2
P001,R0183,0
P001,R0184,0
P001,R0185,0
P001,R0186,1
P001,R0187,0
P001,R0188,0
P001,R0189,2
P001,R0190,0
P001,R0191,0
P001,R0192,0
P001,R0193,2
P001,R0194,0
P001,R0195,0
P001,R0196,0
P001,R0197,2
P001,R0198,0
P001,R0199,2
P001,R0200,0
P001,R0201,0
P001,R0202,0
P001,R0203,2
P001,R0204,0
P001,R0205,0
P001,R0206,2
P001,R0207,1
P001,R0208,2
P001,R0209,0
P001,R0210,0
P001,R0211,0
P001,R0212,0
P001,R0213,0
P001,R0214,0
P001,R0215,0
P001,R0216,0
P001,R0217,0
P001,R0218,2
P001,R0219,0
P001,R0220,0
P001,R0221,0
P001,R0222,0
P001,R0223,0
P001,R0224,0
P001,R0225,0
P001,R0226,0
P001,R0227,2
P001,R0228,0
P001,R0229,0
P001,R0230,2
P001,R0231,1
P001,R0232,2
P001,R0233,2
P001,R0234,0
P001,R0235,1
P001,R0236,0
P001,R0237,1
P001,R0238,0
P001,R0239,0
P001,R0240,2
P001,R0241,2
P001,R0242,0
P001,R0243,0
P001,R0244,0
P001,R0245,0
P001,R0246,0
P001,R0247,0
P001,R0248,0
P001,R0249,0
P001,R0250,0
P001,R0251,0
P001,R0252,0
P001,R0253,0
P001,R0254,2
P001,R0255,0
P001,R0256,0
P001,R0257,0
P001,R0258,1
P001,R0259,0
P001,R0260,0
P001,R0261,0
P001,R0262,1
P001,R0263,0
P001,R0264,0
P001,R0265,1
P001,R0266,0
P001,R0267,1
P001,R0268,0
P001,R0269,0
P001,R0270,0
P001,R0271,2
P001,R0272,0
P001,R0273,0
P001,R0274,0
P001,R0275,2
P001,R0276,0
P001,R0277,0
P001,R0278,0
P001,R0279,2
P001,R0280,0
P001,R0281,0
P001,R0282,0
P001,R0283,1
P001,R0284,2
P001,R0285,2
P001,R0286,1
P001,R0287,1
P001,R0288,0
P001,R0289,1
P001,R0290,0
P001,R0291,0
P001,R0292,0
P001,R0293,1
P001,R0294,0
P001,R0295,0
P001,R0296,0
P001,R0297,0
P001,R0298,0
P001,R0299,0
P001,R0300,1
P001,R0301,0
P001,R0302,0
P001,R0303,1
P001,R0304,0
P001,R0305,0
P001,R0306,0
P001,R0307,0
P001,R0308,0
P001,R0309,0
P001,R0310,0
P001,R0311,1
P001,R0312,0
P001,R0313,0
P001,R0314,0
P001,R0315,0
P001,R0316,0
P001,R0317,2
P001,R0318,0
P001,R0319,0
P001,R0320,1
P001,R0321,0
P001,R0322,0
P001,R0323,0
P001,R0324,0
P001,R0325,2
P001,R0326,0
P001,R0327,0
P001,R0328,0
P001,R0329,0
P001,R0330,0
P001,R0331,2
P001,R0332,0
P001,R0333,0
P001,R0334,0
P001,R0335,0
P001,R0336,0
P001,R0337,0
P001,R0338,0
P001,R0339,2
P001,R0340,1
P001,R0341,1
P001,R0342,2
P001,R0343,0
P001,R0344,0
P001,R0345,0
P001,R0346,0
P001,R0347,2
P001,R0348,0
P001,R0349,2
P001,R0350,0
P001,R0351,0
P001,R0352,0
P001,R0353,0
P001,R0354,0
P001,R0355,0
P001,R0356,0
P001,R0357,0
P001,R0358,0
P001,R0359,1
P001,R0360,0
P001,R0361,0
P001,R0362,1
P001,R0363,0
P001,R0364,1
P001,R0365,2
P001,R0366,0
P001,R0367,0
P001,R0368,2
P001,R0369,0
P001,R0370,0
P001,R0371,0
P001,R0372,0
P001,R0373,0
P001,R0374,1
P001,R0375,2
P001,R0376,0
P001,R0377,0
P001,R0378,0
P001,R0379,0
P001,R0380,0
P001,R0381,0
P001,R0382,0
P001,R0383,2
